0,75.99
0.1,73.042
0.2,78.613
0.3,82.636
0.4,76.949
0.5,72.775
0.6,84.344
0.7,65.846
0.8,72.276
0.9,82.681
1,71.482
1.1,81.301
1.2,71.17
1.3,75.347
1.4,73.182
1.5,72.924
1.6,74.782
1.7,82.391
1.8,67.874
1.9,79.978
2,70.454
2.1,77.591
2.2,79.287
2.3,87.562
2.4,74.07
2.5,79.631
2.6,88.362
2.7,75.011
2.8,71.797
2.9,86.503
3,81.007
3.1,94.409
3.2,78.791
3.3,85.706
3.4,88.33
3.5,86.723
3.6,86.417
3.7,81.469
3.8,85.337
3.9,93.531
4,96.573
4.1,91.562
4.2,93.564
4.3,95.431
4.4,104.88
4.5,90.028
4.6,93.722
4.7,87.682
4.8,90.278
4.9,97.316
5,100.16
5.1,101.27
5.2,101.43
5.3,93.777
5.4,103.98
5.5,98.119
5.6,99.997
5.7,88.954
5.8,97.088
5.9,93.12
6,102.89
6.1,100.19
6.2,103.85
6.3,108.94
6.4,99.795
6.5,113.39
6.6,115.2
6.7,109.4
6.8,110.05
6.9,110.97
7,116.37
7.1,114.04
7.2,109.75
7.3,110.23
7.4,112.82
7.5,112.88
7.6,114.55
7.7,118.8
7.8,114.97
7.9,124.48
8,118.2
8.1,122.95
8.2,118.86
8.3,126.03
8.4,114.94
8.5,114.07
8.6,119.47
8.7,137.95
8.8,135.11
8.9,129.98
9,125.09
9.1,123.92
9.2,125.8
9.3,129.3
9.4,137.32
9.5,132.78
9.6,137.88
9.7,122.72
9.8,116.89
9.9,128.43
10,123.51
10.1,132.82
10.2,123.51
10.3,134.69
10.4,129.43
10.5,134.6
10.6,132.01
10.7,141.62
10.8,126.91
10.9,131.82
11,125.25
11.1,124.32
11.2,142.23
11.3,132.47
11.4,135.06
11.5,130.92
11.6,136.68
11.7,133.75
11.8,135.83
11.9,129.46
12,132.97
12.1,143.95
12.2,139.46
12.3,136.08
12.4,129.64
12.5,136.17
12.6,121.87
12.7,140.42
12.8,132.66
12.9,134.41
13,146.76
13.1,137.2
13.2,140.36
13.3,139.16
13.4,130.91
13.5,132.36
13.6,132.67
13.7,129.88
13.8,130.34
13.9,120.12
14,131.34
14.1,129.66
14.2,120.47
14.3,126.3
14.4,121.24
14.5,129.86
14.6,122
14.7,130.3
14.8,126.35
14.9,129.75
15,130.58
15.1,119.03
15.2,124.07
15.3,114.29
15.4,118.61
15.5,123.33
15.6,119.16
15.7,127.11
15.8,113.99
15.9,116.67
16,129.2
16.1,123.97
16.2,107.16
16.3,117.47
16.4,117.79
16.5,109.4
16.6,127.24
16.7,110.87
16.8,118.89
16.9,119.65
17,115.91
17.1,113.08
17.2,114.64
17.3,104.37
17.4,103.55
17.5,106.99
17.6,94.409
17.7,104.97
17.8,121.19
17.9,107.85
18,106.71
18.1,102.99
18.2,102.8
18.3,98.303
18.4,110.11
18.5,98.887
18.6,102.22
18.7,94.129
18.8,93.453
18.9,94.346
19,93.266
19.1,87.525
19.2,95.363
19.3,86.228
19.4,94.74
19.5,96.495
19.6,96.981
19.7,97.493
19.8,101.88
19.9,85.66
20,84.924
20.1,96.229
20.2,97.201
20.3,85.334
20.4,83.29
20.5,83.675
20.6,77.392
20.7,87.026
20.8,88.868
20.9,98.247
21,81.591
21.1,82.266
21.2,84.93
21.3,83.883
21.4,95.282
21.5,83.233
21.6,92.875
21.7,85.554
21.8,88.728
21.9,73.515
22,88.252
22.1,73.329
22.2,86.224
22.3,70.918
22.4,94.08
22.5,81.485
22.6,78.426
22.7,75.731
22.8,76.873
22.9,77.035
23,76.789
23.1,77.838
23.2,69.289
23.3,73.006
23.4,78.1
23.5,75.546
23.6,72.804
23.7,79.341
23.8,80.475
23.9,73.027
24,69.037
24.1,81.389
24.2,73.506
24.3,71.498
24.4,85.735
24.5,81.733
24.6,69.922
24.7,85.925
24.8,65.566
24.9,79.356
25,82.326
25.1,74.765
25.2,66.799
25.3,72.852
25.4,73.653
25.5,81.163
25.6,77.337
25.7,78.037
25.8,84.052
25.9,74.743
26,74.133
26.1,77.74
26.2,71.799
26.3,73.197
26.4,79.301
26.5,76.604
26.6,76.531
26.7,79.877
26.8,90.38
26.9,90.728
27,85.217
27.1,85.639
27.2,80.346
27.3,79.369
27.4,82.076
27.5,93.422
27.6,93.078
27.7,93.072
27.8,86.409
27.9,95.267
28,90.248
28.1,83.985
28.2,97.826
28.3,88.004
28.4,89.233
28.5,89.969
28.6,101.23
28.7,87.603
28.8,97.568
28.9,97.529
29,101.36
29.1,101.57
29.2,104.86
29.3,105.86
29.4,98.008
29.5,107.58
29.6,102.51
29.7,110.02
29.8,111.56
29.9,109.66
30,102.96
30.1,107.31
30.2,106.97
30.3,108.65
30.4,104.26
30.5,109.39
30.6,109.61
30.7,118.55
30.8,112.57
30.9,101.58
31,107.38
31.1,115.08
31.2,107.23
31.3,113.06
31.4,122.4
31.5,120.16
31.6,114.87
31.7,122.37
31.8,115.06
31.9,113.71
32,124.28
32.1,126.64
32.2,109.92
